#{"t_start": 1519722024.2306721, "env_id": "Ant-v2", "gym_version": "0.10.2"}
r,l,t
-119.843828,47,1.486498
-103.996487,48,1.767371
-34.326715,12,1.837763
-216.413335,62,2.197724
-275.617411,98,2.784214
-202.736527,62,3.15626
-47.635365,23,3.289141
-86.313393,32,3.505053
-754.972103,222,5.110182
-254.076601,81,5.602718
-127.566555,34,5.801034
-195.005907,67,6.194546
-148.979522,45,6.474843
-86.564234,30,6.651119
-76.147754,36,6.865747
-428.281408,135,7.755277
-32.777883,12,7.826524
-106.35575,32,8.014954
-3011.9316,1000,14.181503
-28.379945,11,14.249748
-45.330978,14,14.331706
-63.893994,26,14.503824
-138.093276,38,14.727531
-161.216217,57,15.065945
-60.186634,32,15.25434
-32.283846,13,15.330136
-151.101573,38,15.5719
-2908.798292,1000,21.738057
-50.07623,19,21.854632
-40.742107,16,21.948559
-233.936221,70,22.376333
-59.487003,24,22.532985
-46.278103,16,22.62669
-81.522136,23,22.762414
-332.15682,113,23.513177
-21.614513,11,23.580263
-109.254601,40,23.814518
-352.450662,121,24.552946
-128.673033,42,24.80158
-107.947957,46,25.074938
-51.279517,15,25.159722
-73.958166,36,25.369292
-123.874856,36,25.601564
-2892.752096,1000,31.733449
-49.660403,14,31.813874
-175.282519,53,32.125283
-65.807116,19,32.241426
-213.283079,82,32.741245
-74.471817,24,32.951568
-65.652851,21,33.0774
-57.475495,40,33.303917
-166.492624,59,33.680454
-125.752882,37,33.893658
-176.296859,61,34.252608
-74.373015,34,34.470017
-135.407082,69,34.875727
-92.857638,34,35.072824
-136.442227,38,35.294687
-94.012232,25,35.453334
-244.260207,77,35.907922
-179.766547,55,36.297816
-101.230469,39,36.544774
-48.100063,15,36.632417
-183.54296,64,37.013297
-83.906503,27,37.17562
-136.224125,60,37.55356
-49.53415,16,37.646864
-1341.767651,439,40.385925
-34.891035,18,40.511155
-34.557041,21,40.628848
-542.099418,169,41.632177
-160.661307,46,41.903498
-119.021761,48,42.186427
-2981.854141,1000,48.376816
-67.022514,23,48.518586
-202.436235,44,48.849529
-46.934097,24,48.991004
-246.077458,84,49.497147
-39.720659,20,49.610376
-103.105749,31,49.787858
-182.697223,60,50.137792
-85.839286,21,50.261786
-140.543008,43,50.52865
-105.272722,29,50.697077
-162.906281,44,50.954823
-98.473581,44,51.213232
-83.513703,26,51.371781
-225.613478,70,51.891325
-157.0242,43,52.145784
-282.536622,88,52.675801
-223.94046,70,53.089507
-207.04592,67,53.503956
-40.428037,14,53.585082
-60.332618,17,53.683853
-81.070485,29,53.850898
-39.365004,14,53.931805
-85.669353,25,54.079002
-30.394487,12,54.14834
-46.568112,13,54.227785
-308.75941,95,54.816336
-3112.659087,1000,60.99825
-44.813974,12,61.070357
-119.601819,46,61.427796
-128.955482,59,61.791021
