fps,lr,policy_loss,total_timesteps,approxkl,time_elapsed,eplenmean,d_targ,serial_timesteps,value_loss,explained_variance,beta,eprewmean,policy_entropy,nupdates
4710,0.0003,-0.00480415,16384,0.00149631,3.478062868118286,58.31,0.012,512,1.04027,-0.03343701362609863,1.0,-184.4172931,11.3394,1
5223,0.0003,-0.00414901,32768,0.000631783,6.6298277378082275,101.45,0.012,1024,0.717238,0.3592696785926819,0.666667,-318.98116787,11.3153,2
5193,0.0003,-0.00448736,49152,0.000859951,9.785036563873291,158.42,0.012,1536,1.03243,0.5111365914344788,0.444445,-499.59952732,11.2916,3
5194,0.0003,-0.00390597,65536,0.000914135,12.939765930175781,110.31,0.012,2048,0.949387,0.6349438428878784,0.296296,-341.41064982,11.2662,4
5204,0.0003,-0.00318127,81920,0.000845803,16.087995290756226,108.8,0.012,2560,0.922878,0.6815605759620667,0.197531,-342.7509693,11.2431,5
5185,0.0003,-0.00397644,98304,0.000991082,19.248135805130005,91.9,0.012,3072,1.18507,0.6465349793434143,0.131687,-279.17809297,11.2291,6
5160,0.0003,-0.00329213,114688,0.000984593,22.42360210418701,109.07,0.012,3584,1.20678,0.6876333057880402,0.0877915,-328.28953275,11.212,7
5192,0.0003,-0.00381273,131072,0.00100679,25.579030513763428,163.36,0.012,4096,1.9877,0.6063530743122101,0.0585277,-494.59842298,11.1905,8
5258,0.0003,-0.00346599,147456,0.000924389,28.695032358169556,68.53,0.012,4608,1.88552,0.6979120373725891,0.0390184,-199.69211504,11.1725,9
5199,0.00045,-0.00461136,163840,0.00186636,31.846521139144897,142.38,0.012,5120,2.30817,0.6823300123214722,0.0285714,-427.5539206,11.1534,10
5240,0.0006749999999999999,-0.00724942,180224,0.00413867,34.97307229042053,72.19,0.012,5632,2.43996,0.7056107521057129,0.0285714,-215.60731569,11.1221,11
5163,0.0010125,-0.0134658,196608,0.013641,38.1463406085968,106.15,0.012,6144,2.56689,0.7191044688224792,0.0285714,-317.0237346,11.076,12
5206,0.0010125,-0.0145151,212992,0.0143987,41.29336929321289,105.4,0.012,6656,2.82493,0.7253459990024567,0.0285714,-314.32494105,11.0414,13
5168,0.0010125,-0.0129281,229376,0.0156766,44.464081048965454,108.98,0.012,7168,2.79225,0.7456530332565308,0.0285714,-326.96146649,11.0117,14
5177,0.0010125,-0.0150231,245760,0.01407,47.629090785980225,137.45,0.012,7680,2.9586,0.7658708989620209,0.0285714,-417.84818545,10.9732,15
5221,0.0010125,-0.0169765,262144,0.018124,50.7670738697052,87.42,0.012,8192,3.50928,0.749485969543457,0.0285714,-266.99923221,10.9282,16
5202,0.0010125,-0.0145716,278528,0.0181233,53.91693711280823,104.58,0.012,8704,3.36093,0.7718419134616852,0.0285714,-321.09359047,10.8945,17
5197,0.0010125,-0.0148642,294912,0.0173113,57.06969618797302,68.19,0.012,9216,3.67504,0.779427170753479,0.0285714,-211.12363397,10.8435,18
5169,0.0010125,-0.0175313,311296,0.0184419,60.2393639087677,77.22,0.012,9728,3.73536,0.7936340570449829,0.0285714,-246.07927867,10.7826,19
5218,0.0010125,-0.014658,327680,0.0200158,63.37957406044006,78.54,0.012,10240,4.16735,0.7683105021715164,0.0285714,-252.00746885,10.7182,20
5130,0.0010125,-0.0180118,344064,0.020815,66.57363152503967,52.29,0.012,10752,2.84686,0.8546719253063202,0.0285714,-170.12230041,10.6671,21
5174,0.0010125,-0.0173153,360448,0.0280962,69.74015808105469,44.7,0.012,11264,4.1449,0.799925684928894,0.0285714,-148.86647201,10.6296,22
5197,0.0010125,-0.0123937,376832,0.0175153,72.89265990257263,52.48,0.012,11776,3.52623,0.8274119347333908,0.0428572,-178.07942932,10.5785,23
5160,0.0010125,-0.0135633,393216,0.0170634,76.06800842285156,56.87,0.012,12288,3.41099,0.8502155691385269,0.0428572,-195.92688371,10.5222,24
5135,0.0010125,-0.0152322,409600,0.0244406,79.25851583480835,57.74,0.012,12800,4.09275,0.8159613460302353,0.0428572,-195.08103185,10.4606,25
5162,0.0010125,-0.0127414,425984,0.0186877,82.43278098106384,31.95,0.012,13312,3.12881,0.8496797829866409,0.0642857,-110.51586326,10.4013,26
5102,0.0010125,-0.0201126,442368,0.0209432,85.64401245117188,51.51,0.012,13824,3.00948,0.8667434602975845,0.0642857,-184.4102768,10.3541,27
5188,0.0010125,-0.0186827,458752,0.0202413,88.80199885368347,31.38,0.012,14336,3.32517,0.790710911154747,0.0642857,-111.56433706,10.325,28
5167,0.0010125,-0.0145238,475136,0.0256634,91.9731867313385,43.66,0.012,14848,3.04734,0.8537454158067703,0.0642857,-151.86930273,10.2722,29
5180,0.0010125,-0.0158241,491520,0.0208678,95.13617396354675,32.28,0.012,15360,2.99806,0.8613552451133728,0.0964286,-113.12678338,10.2128,30
5131,0.0010125,-0.0215469,507904,0.0213383,98.32961249351501,46.76,0.012,15872,3.01932,0.8552802056074142,0.0964286,-164.32939749,10.1568,31
5134,0.0010125,-0.0159151,524288,0.0180331,101.52071595191956,35.07,0.012,16384,2.3946,0.8452585935592651,0.0964286,-124.3433211,10.1126,32
5139,0.0010125,-0.0178108,540672,0.0219742,104.70919895172119,16.93,0.012,16896,1.30712,0.8599208742380142,0.0964286,-64.66507698,10.0571,33
5161,0.0010125,-0.0154155,557056,0.0210544,107.88398551940918,17.8,0.012,17408,1.9305,0.8828284591436386,0.0964286,-66.33461954,9.99887,34
5069,0.0010125,-0.0152214,573440,0.0195533,111.11613488197327,24.3,0.012,17920,1.94194,0.894244834780693,0.0964286,-91.10949158,9.94599,35
4864,0.0010125,-0.0513285,589824,0.0203408,114.48467421531677,18.06,0.012,18432,2.20094,0.8632840514183044,0.0964286,-62.85378418,9.89893,36
4745,0.0010125,-0.0130913,606208,0.0185368,117.93733143806458,27.25,0.012,18944,2.13275,0.8711497038602829,0.0964286,-97.30854552,9.86382,37
4878,0.0010125,-0.0123633,622592,0.0129276,121.2964141368866,22.33,0.012,19456,1.69266,0.907307893037796,0.0964286,-78.06714024,9.81871,38
4944,0.0010125,-0.014974,638976,0.0160948,124.61050605773926,19.22,0.012,19968,1.88343,0.8462538719177246,0.0964286,-70.03579275,9.76011,39
5020,0.0010125,-0.018734,655360,0.0177463,127.87399959564209,19.55,0.012,20480,1.12104,0.8641955554485321,0.0964286,-69.70723443,9.68771,40
5138,0.0010125,-0.0134868,671744,0.0180954,131.06304621696472,27.01,0.012,20992,0.890799,0.8647465258836746,0.0964286,-95.6705589,9.61174,41
5136,0.0010125,-0.0174634,688128,0.0205621,134.25321984291077,18.04,0.012,21504,0.907405,0.8731276988983154,0.0964286,-62.37431348,9.54378,42
5196,0.0010125,-0.019793,704512,0.0313876,137.40635418891907,19.49,0.012,22016,0.839999,0.8121424913406372,0.0964286,-67.07993003,9.48651,43
5161,0.0010125,-0.0153009,720896,0.0302272,140.58120846748352,14.45,0.012,22528,0.926964,0.9064459949731827,0.144643,-50.42365577,9.42887,44
5140,0.0010125,-0.0120177,737280,0.0115398,143.76888251304626,19.82,0.012,23040,1.28102,0.8501733392477036,0.216964,-63.13639423,9.36777,45
5165,0.0010125,-0.0139523,753664,0.0129996,146.94101929664612,20.14,0.012,23552,0.774891,0.9375845715403557,0.216964,-68.28590449,9.30824,46
5133,0.0010125,-0.0138619,770048,0.0144483,150.1328718662262,15.1,0.012,24064,1.2471,0.894898995757103,0.216964,-47.21398907,9.26282,47
5172,0.0010125,-0.0186816,786432,0.0122459,153.30073618888855,17.23,0.012,24576,0.988242,0.8681876510381699,0.216964,-56.70921751,9.22908,48
5132,0.0010125,-0.0141169,802816,0.0128824,156.49342584609985,17.13,0.012,25088,0.789415,0.914378322660923,0.216964,-54.20893757,9.19411,49
5198,0.0010125,-0.00994445,819200,0.0141518,159.6454837322235,22.59,0.012,25600,1.39096,0.9007914140820503,0.216964,-75.02135101,9.15308,50
