#{"env_id": "Humanoid-v2", "t_start": 1519555780.7628548, "gym_version": "0.9.7"}
r,l,t
147.067369,31,1.06874
81.198379,17,1.433445
76.771488,16,1.777728
76.481283,16,2.129814
75.526546,16,2.480954
80.826004,17,2.862432
175.324856,37,3.68933
85.856615,18,4.108004
81.010505,17,4.489681
75.273013,16,4.861289
83.866112,18,5.269655
91.383277,19,5.696747
96.50374,22,6.20981
81.211839,17,6.592248
107.689048,24,7.162745
84.611336,18,7.565751
89.553473,19,8.027457
86.682249,18,8.438845
73.910288,16,8.812906
76.299247,16,9.192106
80.998732,17,9.571383
95.840317,20,10.064341
90.721494,19,10.493655
80.815281,17,10.881454
81.101656,17,11.263063
80.451427,17,11.647883
73.321289,16,12.015859
167.895859,39,13.775839
165.467522,36,14.604735
108.677437,24,15.149317
75.772076,16,15.513573
81.467917,17,15.911323
85.899224,18,16.334532
160.175399,34,17.111093
75.164575,16,17.470059
80.100193,17,17.854855
123.995351,26,18.440403
79.7045,17,18.842354
95.701279,22,19.340763
131.052502,27,19.978588
78.840065,17,20.361733
110.166633,23,20.897582
76.52605,16,21.296155
80.94017,17,21.686592
118.146767,25,22.283363
73.459834,16,22.647951
75.549916,17,23.062475
153.731134,35,23.864095
95.557117,20,24.323136
95.476459,20,25.393772
151.893263,30,26.091785
112.43635,24,26.64721
165.760902,33,27.425468
87.487521,19,27.865861
86.099622,18,28.284116
108.365513,23,28.803739
86.761523,18,29.258893
81.427796,17,29.65232
76.490506,16,30.035224
166.043623,34,30.812356
116.677102,26,31.424505
96.772782,21,31.928231
76.040093,16,32.304423
96.527475,20,32.765226
71.077464,15,33.132489
126.154012,30,33.828188
80.361071,17,34.239547
81.242006,17,34.631148
75.866287,16,35.008045
184.104874,40,35.949198
81.483957,17,36.334957
84.141138,18,36.744261
122.666218,26,37.96848
122.480031,27,38.595097
144.954162,32,39.376171
79.408666,18,39.798205
77.954883,17,40.220186
103.052075,21,40.703596
85.87889,18,41.154037
133.702022,30,41.869157
76.07188,16,42.248432
210.066751,51,43.455211
107.597642,22,43.987394
81.379812,17,44.379366
86.050248,18,44.797724
112.712807,24,45.370824
112.987946,24,45.951088
85.710807,18,46.378865
120.33939,25,46.980588
86.564678,18,47.39711
