#{"t_start": 1519654444.7497528, "env_id": "Ant-v2", "gym_version": "0.9.7"}
r,l,t
-141.856313,50,1.151698
-61.133452,20,1.273845
-3038.171484,1000,7.699297
-35.021459,15,7.789842
-135.803388,41,8.046739
-80.868185,26,8.205898
-3064.652707,1000,14.405447
-153.783382,72,14.833037
-182.783731,52,15.167705
-214.802687,81,15.64298
-83.470546,35,15.853158
-146.7044,54,16.180126
-2714.089705,1000,22.338733
-122.808482,37,22.555044
-75.85453,21,22.682047
-73.903814,34,22.891277
-211.582419,77,23.44326
-89.669974,55,23.76619
-62.162851,23,23.920232
-27.992744,9,23.981625
-37.927828,13,24.063732
-61.888195,24,24.200269
-211.914614,63,24.565834
-155.774325,49,24.868792
-220.613199,77,25.32816
-27.353681,10,25.3889
-66.150677,23,25.528386
-159.553168,60,25.888813
-238.211976,80,26.448166
-105.036488,35,26.653075
-68.315129,34,26.870262
-79.99485,20,27.008014
-58.235602,23,27.144755
-152.370941,50,27.431305
-502.856466,199,28.614276
-23.223136,12,28.687443
-69.410439,24,28.826468
-141.70332,47,29.11891
-45.623837,25,29.263864
-67.161322,24,29.407036
-164.210337,36,29.695749
-107.044427,42,29.974138
-204.847975,81,30.446332
-130.543256,41,30.68853
-51.31691,24,30.834888
-2547.908296,1000,36.990053
-165.719943,72,37.409668
-33.44144,22,37.537429
-43.290977,15,37.625795
-26.883798,14,37.706297
-157.086968,76,38.172173
-137.663997,72,38.596049
-47.248427,21,38.717924
-251.989746,87,39.322016
-315.551177,116,40.025361
-92.869705,32,40.212981
-90.630107,35,40.41425
-25.491261,15,40.502102
-35.399548,23,40.63778
-82.327369,36,40.847806
-254.680902,108,41.492249
-64.449385,44,41.749565
-211.866666,79,42.317335
-1313.61938,552,45.705514
-222.206328,71,46.156243
-85.433802,31,46.340705
-336.27782,151,47.240907
-30.717465,20,47.359716
-186.284856,72,47.781872
-257.25621,111,48.523715
-56.299014,30,48.704531
-136.089464,50,49.02446
-200.49464,87,49.535147
-122.874411,75,50.003948
-149.504633,64,50.422708
-110.522573,39,50.655863
-191.206902,92,51.213278
-97.448058,30,51.390013
-28.276812,13,51.469863
-181.829474,85,52.080302
-250.510081,79,52.54161
-2209.787406,1000,58.708262
-11.657774,19,58.814893
-223.207296,95,59.422735
-59.372023,29,59.592095
-52.16821,27,59.751969
-90.319885,40,59.997863
-57.674521,22,60.120091
-37.428254,16,60.218239
-79.673855,34,60.418476
-112.722974,53,60.72917
-43.868829,31,60.927477
-87.020886,35,61.226376
-24.099572,28,61.392744
-271.347313,134,62.202311
-101.778797,43,62.458265
-34.300977,23,62.595043
-15.771492,14,62.671323
-184.676809,52,63.009685
-145.162269,76,63.458386
-103.899168,44,63.714938
-138.397344,57,64.08286
-402.755433,156,65.098909
-30.938428,25,65.250902
-119.566411,41,65.496065
-39.123343,18,65.601656
-94.925372,29,65.76753
-27.229424,14,65.852904
-54.312681,18,65.973597
-52.658821,23,66.110142
-97.177712,30,66.286746
-74.431991,34,66.490633
-37.652949,22,66.621721
-183.67969,73,67.057033
-82.9728,26,67.209172
-98.308726,60,67.64025
-23.101849,15,67.729728
-157.838707,70,68.159869
-221.64752,95,68.726659
-19.325435,19,68.842485
-165.165194,67,69.242951
-26.191442,20,69.360224
-50.88462,24,69.501601
-79.655187,49,69.791603
-70.498323,28,69.982138
-90.181479,20,70.099665
-69.503693,24,70.241135
-104.773343,44,70.496956
-189.458832,83,71.088299
-78.922129,31,71.273644
-47.724036,30,71.449601
-186.399472,68,71.853322
-240.925332,102,72.471726
-95.768924,55,72.801297
-161.911728,92,73.352191
-34.78577,25,73.497007
-84.325199,48,73.860621
-87.388695,30,74.06461
-30.701948,13,74.142727
-153.734903,65,74.53004
-190.154596,60,74.896221
-94.917479,29,75.084924
-54.86279,23,75.216744
-331.277013,161,76.193939
-32.686669,32,76.382665
-24.118254,13,76.463555
-20.447223,28,76.621985
-68.781172,30,76.801634
-46.626579,27,77.049323
-74.901657,39,77.282878
-42.834647,31,77.473739
-41.673743,17,77.575497
-152.723638,46,77.852053
-60.698163,25,78.015448
-157.916001,82,78.50481
-62.117597,25,78.653704
-26.565321,22,78.779723
-60.881175,18,78.895349
-67.003001,42,79.15976
-175.924819,115,79.845075
-65.469448,26,80.015924
-29.986387,29,80.268048
-131.356046,47,80.544953
-52.183288,25,80.689021
-64.396666,28,80.861853
-211.523029,92,81.427508
-104.643334,47,81.704242
-71.662056,44,81.984053
-39.274229,13,82.059452
-203.782502,140,82.908069
-97.417936,32,83.105644
-191.144323,90,83.711101
-48.299966,23,83.858661
-162.591115,72,84.317019
-135.678307,75,84.76283
-72.799432,31,84.958385
-59.831476,22,85.102561
-95.265717,44,85.362065
-50.107968,29,85.536497
-25.678768,12,85.604603
-31.142904,16,85.692011
-42.112857,20,85.812215
-37.304569,21,85.951048
-21.323591,14,86.032006
-76.440578,30,86.209711
-125.011331,54,86.616491
-87.562015,40,86.858717
-38.236322,17,86.967647
-150.759279,78,87.423616
-65.911493,50,87.722293
-245.709952,139,88.58823
-123.15588,71,89.04019
-69.436727,60,89.395642
-64.911112,43,89.638586
-20.488059,17,89.807759
-14.456827,13,89.896451
-30.436477,23,90.039759
-290.316874,137,90.840663
-20.572421,19,90.969291
-36.798922,20,91.094485
-210.141797,98,91.668595
-1294.204219,751,96.344207
-40.888545,22,96.477257
-33.251763,24,96.619938
-61.025935,40,96.858202
-25.535195,16,96.965841
-123.85894,77,97.421896
-109.719176,78,97.884596
-41.568961,29,98.054872
-65.05406,21,98.180731
-9.894184,17,98.281007
-23.544885,37,98.500818
-78.26766,78,98.978652
-16.139958,19,99.087926
-43.377982,60,99.516283
-10.879498,16,99.611999
-22.984802,13,99.685168
-50.810256,25,99.829818
-57.224679,31,100.017815
-103.977948,43,100.269319
-66.283999,20,100.383738
-18.151132,18,100.490631
-12.846086,15,100.581836
-77.185217,42,100.829083
-104.222966,53,101.147608
-44.923513,32,101.337944
-26.002211,19,101.451534
-30.703431,21,101.574935
-31.09515,20,101.688495
-41.751123,32,101.883654
-93.884906,37,102.102188
-211.394779,74,102.607817
-78.871237,31,102.787973
-25.756617,26,102.965438
-2.482503,15,103.055643
-18.10593,11,103.119854
-61.774138,30,103.29445
-68.30872,44,103.553406
-50.13007,21,103.671078
-39.459308,26,103.833506
-36.682955,20,103.970964
-12.77124,16,104.076118
-35.185381,12,104.146838
-23.283799,13,104.222898
-130.57532,125,104.975692
-29.259708,23,105.116797
-179.295452,115,105.878485
-64.143316,40,106.125368
-56.455908,26,106.275937
-17.012663,14,106.360973
-29.998876,37,106.573944
-17.726264,12,106.643049
-40.862639,25,106.79429
-34.569749,10,106.863064
-46.895742,42,107.123592
-33.438082,31,107.301713
-5.066663,14,107.384743
-86.674268,42,107.626168
-74.209103,63,108.013956
-9.763811,11,108.076469
-25.71489,28,108.238539
-58.361896,55,108.637773
-26.394485,13,108.713911
-31.423579,14,108.79706
-7.716142,7,108.84306
-106.94977,75,109.291332
-14.383786,12,109.362574
-40.054428,18,109.466266
-45.514305,22,109.594978
-114.467705,64,110.000146
-228.445268,112,110.659862
-27.993595,26,110.812397
-38.978265,25,110.964586
-31.995883,12,111.034575
-45.420753,41,111.28428
-11.332214,11,111.35365
-24.453841,25,111.50662
-13.192723,15,111.59128
-29.095938,17,111.769344
-86.605644,51,112.082721
-55.198607,32,112.270058
-16.551623,27,112.431555
-150.291098,82,112.925383
-109.532259,100,113.527372
-5.448922,12,113.599577
-103.612155,60,113.959738
-150.254409,68,114.361029
-27.604841,15,114.449339
-22.051272,29,114.619303
-12.565512,13,114.695587
-122.75854,60,115.136907
-36.683245,37,115.361112
-78.101216,41,115.602757
-63.929223,33,115.795883
-60.614635,40,116.044466
-33.512346,21,116.169101
-44.435339,43,116.416501
-83.400434,43,116.667087
-63.726232,24,116.813631
-1328.912588,1000,123.055584
-19.590871,12,123.122731
-16.035777,14,123.205386
-14.302219,25,123.347579
-18.373356,17,123.444191
-15.244897,16,123.535559
-32.267155,24,123.682845
-12.891008,41,123.935393
-22.560732,57,124.271455
-7.927792,13,124.4225
-0.221546,23,124.556317
-8.4638,13,124.631999
-192.398025,132,125.432753
-135.569215,60,125.787607
-30.354898,24,125.94785
-10.138398,14,126.044651
-28.335135,30,126.223601
-46.830319,28,126.389665
-20.583746,10,126.449811
-31.538071,25,126.594918
-160.901846,90,127.130176
-2.956996,39,127.357684
-20.430543,15,127.518826
-141.904184,73,127.979897
-20.657679,22,128.125015
-22.234593,35,128.335735
-15.241306,12,128.402672
-190.817863,130,129.208362
-39.066005,39,129.43492
-49.869807,21,129.555469
-35.124211,20,129.671962
-10.856601,16,129.765121
-16.893551,15,129.85943
-83.524347,67,130.264498
-18.062948,15,130.352806
-3.39945,11,130.415676
-45.005548,42,130.737459
-2.434219,9,130.790476
-62.050857,29,130.978259
-4.367634,29,131.156104
-238.447007,164,132.133697
-11.375323,13,132.209203
-37.50761,34,132.41176
-10.134734,28,132.574409
-23.001617,17,132.672639
-60.246348,66,133.082573
