nupdates,policy_loss,d_targ,value_loss,eplenmean,serial_timesteps,eprewmean,policy_entropy,clipfrac,explained_variance,fps,time_elapsed,approxkl,lr,total_timesteps
1,-0.00591903,0.012,1.09163,47.03,512,-146.86563033,11.3408,0.0124817,-0.06601548194885254,4685,3.496750831604004,0.00188255,0.0003,16384
2,-0.00623471,0.012,0.901494,46.41,1024,-144.02185913,11.3064,0.0264893,0.020474553108215332,5195,6.699247360229492,0.00288411,0.0006,32768
3,-0.00744699,0.012,1.1196,90.94,1536,-283.57858797,11.2285,0.0824738,0.26367104053497314,5173,9.866411209106445,0.00640413,0.0012,49152
4,-0.00837642,0.012,1.41913,125.69,2048,-388.71839882,11.1121,0.13089,0.31147122383117676,5173,13.033891677856445,0.00989904,0.0024,65536
5,-0.00876198,0.012,1.36778,141.44,2560,-423.64179605,11.0151,0.125885,0.3612666726112366,5165,16.206337213516235,0.00944713,0.0024,81920
6,-0.00758909,0.012,1.25489,101.93,3072,-295.16187091,10.9267,0.111984,0.38390272855758667,5196,19.359822988510132,0.00826034,0.0024,98304
7,-0.0088482,0.012,1.09728,63.64,3584,-180.35411745,10.8443,0.125351,0.43537473678588867,5167,22.5306613445282,0.00934477,0.0024,114688
8,-0.00744855,0.012,1.19157,72.3,4096,-196.10016645,10.7766,0.111145,0.4713597297668457,5187,25.689427375793457,0.00826853,0.0024,131072
9,-0.00716275,0.012,1.30951,69.03,4608,-184.73525147,10.7228,0.109406,0.5194533169269562,5204,28.837910652160645,0.00809746,0.0024,147456
10,-0.00769857,0.012,1.18663,101.68,5120,-270.59947793,10.6442,0.115616,0.5187594294548035,5172,32.006086587905884,0.00857576,0.0024,163840
11,-0.00776793,0.012,1.12207,66.52,5632,-173.28183297,10.5595,0.132065,0.5560607016086578,5226,35.14107131958008,0.0096121,0.0024,180224
12,-0.00685375,0.012,1.11673,61.08,6144,-151.62286136,10.5022,0.10817,0.5624637305736542,5221,38.27942156791687,0.00814978,0.0024,196608
13,-0.00815165,0.012,1.08322,68.31,6656,-169.19165519,10.4244,0.127777,0.6446194648742676,5223,41.41644763946533,0.00949728,0.0024,212992
14,-0.00786012,0.012,1.1767,93.97,7168,-231.09978766,10.3449,0.11795,0.6206396818161011,5200,44.567065954208374,0.00888496,0.0024,229376
15,-0.00896555,0.012,1.00539,38.3,7680,-87.33979634,10.265,0.144699,0.6563259363174438,5200,47.7179012298584,0.0108298,0.0024,245760
16,-0.00933078,0.012,1.0361,73.72,8192,-171.39427542,10.1973,0.141373,0.685035914182663,5106,50.926979303359985,0.010495,0.0024,262144
17,-0.00876448,0.012,0.855853,79.27,8704,-179.1046804,10.1196,0.142654,0.7541622072458267,5175,54.09288930892944,0.0104523,0.0024,278528
18,-0.00990194,0.012,0.943075,66.39,9216,-146.36931931,10.0324,0.155212,0.7264803051948547,5160,57.26785230636597,0.0114753,0.0024,294912
19,-0.00940555,0.012,0.819537,54.4,9728,-116.85249315,9.97593,0.139526,0.7853980362415314,5167,60.439003467559814,0.0102638,0.0024,311296
20,-0.0098672,0.012,0.853246,96.19,10240,-211.36947303,9.91327,0.160721,0.7852877825498581,5164,63.611592292785645,0.01166,0.0024,327680
21,-0.00973426,0.012,0.901133,56.9,10752,-121.40912373,9.85404,0.152176,0.7788610309362411,5203,66.7608277797699,0.0113358,0.0024,344064
22,-0.0110927,0.012,0.660231,70.91,11264,-150.26860675,9.77577,0.168259,0.8463369458913803,5209,69.90603399276733,0.0127276,0.0024,360448
23,-0.00993249,0.012,0.817927,77.47,11776,-158.83180316,9.70404,0.159042,0.808145597577095,5194,73.06063556671143,0.0118263,0.0024,376832
24,-0.0102954,0.012,0.678298,56.39,12288,-109.91200835,9.62531,0.163055,0.8463597744703293,5119,76.2610764503479,0.0124822,0.0024,393216
25,-0.0110189,0.012,0.742625,96.27,12800,-186.36707147,9.54276,0.180176,0.8223230242729187,5141,79.44833517074585,0.0135119,0.0024,409600
26,-0.00944098,0.012,0.657267,57.1,13312,-100.27511685,9.47847,0.162979,0.8493019938468933,5162,82.62222623825073,0.0119024,0.0024,425984
27,-0.0107407,0.012,0.670875,91.12,13824,-167.67882996,9.41619,0.173477,0.850786566734314,5131,85.81559085845947,0.0130538,0.0024,442368
28,-0.0109914,0.012,0.621608,57.65,14336,-105.76885482,9.32657,0.17627,0.8548472672700882,5154,88.99467325210571,0.013771,0.0024,458752
29,-0.0103502,0.012,0.480188,76.65,14848,-137.03374465,9.23733,0.173798,0.8825912773609161,5187,92.15332460403442,0.0131946,0.0024,475136
30,-0.0104282,0.012,0.538532,50.33,15360,-86.18715722,9.14682,0.19577,0.8581787496805191,5203,95.30222702026367,0.0150372,0.0024,491520
31,-0.0100334,0.012,0.422545,65.48,15872,-106.53731208,9.0763,0.171936,0.8857845589518547,5210,98.44703078269958,0.0131877,0.0024,507904
32,-0.0101488,0.012,0.607053,92.83,16384,-151.32029107,8.99336,0.17363,0.8271182179450989,5281,101.54948091506958,0.013177,0.0024,524288
33,-0.00953543,0.012,0.46752,45.33,16896,-70.11658276,8.93932,0.172958,0.8411489576101303,5189,104.7068920135498,0.0127439,0.0024,540672
34,-0.0107937,0.012,0.368093,43.57,17408,-69.46513169,8.87301,0.201004,0.8788636177778244,5218,107.84697365760803,0.0154352,0.0024,557056
35,-0.0109292,0.012,0.458699,63.32,17920,-94.90265133,8.79695,0.202942,0.839860275387764,5204,110.99551343917847,0.0155823,0.0024,573440
36,-0.00992471,0.012,0.31905,65.63,18432,-102.78533572,8.69705,0.176605,0.8782055377960205,5226,114.1309130191803,0.0132227,0.0024,589824
37,-0.00989658,0.012,0.352985,55.89,18944,-80.83906713,8.59386,0.183517,0.803676649928093,5213,117.27372884750366,0.0140815,0.0024,606208
38,-0.010496,0.012,0.257609,49.91,19456,-70.37613228,8.52205,0.181854,0.8735292553901672,5193,120.42914652824402,0.013545,0.0024,622592
39,-0.00936806,0.012,0.238511,46.17,19968,-61.28746591,8.44829,0.181961,0.8990512043237686,5107,123.63724446296692,0.0138732,0.0024,638976
40,-0.0102354,0.012,0.248319,45.5,20480,-61.41287902,8.36688,0.184937,0.8626607209444046,5202,126.78661274909973,0.0146571,0.0024,655360
41,-0.0096378,0.012,0.24709,35.36,20992,-46.83134281,8.27796,0.199005,0.835185170173645,5145,129.9712371826172,0.0152743,0.0024,671744
